Country,Total_Plastic_Waste_MT,Main_Sources,Recycling_Rate,Per_Capita_Waste_KG,Coastal_Waste_Risk
Djibouti,0.03,Consumer_Packaging,1.1,29.7,High
Senegal,0.16,Consumer_Packaging,1.8,9.4,High
Gambia,0.02,Consumer_Packaging,0.5,8.1,High
Mauritania,0.07,Consumer_Packaging,0.4,14.8,High
Western Sahara,0.01,Consumer_Packaging,0.2,18.5,High
Moldova,0.28,Consumer_Packaging,12.3,69.7,Low
Albania,0.31,Consumer_Packaging,15.6,107.9,Medium
North Macedonia,0.29,Consumer_Packaging,17.8,139.2,Low
Bosnia and Herzegovina,0.34,Consumer_Packaging,13.2,104.5,Low
Kosovo,0.21,Consumer_Packaging,8.9,115.7,Low
Georgia,0.33,Consumer_Packaging,11.2,88.3,Medium
Armenia,0.28,Consumer_Packaging,9.8,94.2,Low
Kyrgyzstan,0.25,Consumer_Packaging,4.5,37.8,Low
Tajikistan,0.22,Consumer_Packaging,3.2,22.7,Low
Turkmenistan,0.35,Consumer_Packaging,2.1,57.3,Low
Uzbekistan,0.42,Consumer_Packaging,3.4,12.3,Low
Nepal,0.38,Consumer_Packaging,5.6,12.8,Low
Bhutan,0.05,Consumer_Packaging,12.3,64.2,Low
Maldives,0.04,Consumer_Packaging,3.2,72.8,Very_High
Brunei,0.12,Consumer_Packaging,8.9,269.4,High
East Timor,0.06,Consumer_Packaging,2.3,44.7,High
Papua New Guinea,0.15,Consumer_Packaging,1.2,16.5,High
Solomon Islands,0.03,Consumer_Packaging,0.8,42.9,High
Vanuatu,0.02,Consumer_Packaging,1.1,63.8,High
New Caledonia,0.04,Consumer_Packaging,23.4,138.6,High
Fiji,0.07,Consumer_Packaging,6.7,76.9,High
Samoa,0.01,Consumer_Packaging,4.5,49.8,High
Tonga,0.01,Consumer_Packaging,3.2,92.7,High
Kiribati,0.01,Consumer_Packaging,2.1,82.4,High
Marshall Islands,0.01,Consumer_Packaging,1.8,168.5,High
Micronesia,0.01,Consumer_Packaging,1.5,86.3,High
Palau,0.01,Consumer_Packaging,12.3,437.2,High
Tuvalu,0.01,Consumer_Packaging,1.2,833.3,High
Nauru,0.01,Consumer_Packaging,0.9,927.8,High
